name,email,phone,address,city,county,state,zip,category,found_date,email_valid,phone_valid,address_valid,verified,verified_date,notes
Phone:,info@miamirooftech.com,(786) 539-0563,"** 5625 NE 2nd Ave, Miami, FL 33137 ### 2. Proper Roofing Inc. - **Phone:** (786) 999-5353 - **Email:** appointment@properoofing.com - **Address:** 1011 Ives Dairy Rd #210, Miami, FL 33179 ### 3. A&E ",Miami,,Florida,33137,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,info@tsroofingsystems.com,(786) 539-0563,"** 5625 NE 2nd Ave, Miami, FL 33137 ### 2. Proper Roofing Inc. - **Phone:** (786) 999-5353 - **Email:** appointment@properoofing.com - **Address:** 1011 Ives Dairy Rd #210, Miami, FL 33179 ### 3. A&E ",Miami,,Florida,33137,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,office@mainlandroofing.com,(786) 539-0563,"** 5625 NE 2nd Ave, Miami, FL 33137 ### 2. Proper Roofing Inc. - **Phone:** (786) 999-5353 - **Email:** appointment@properoofing.com - **Address:** 1011 Ives Dairy Rd #210, Miami, FL 33179 ### 3. A&E ",Miami,,Florida,33137,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,danielcrespo.fsr@gmail.com,(786) 539-0563,"** 5625 NE 2nd Ave, Miami, FL 33137 ### 2. Proper Roofing Inc. - **Phone:** (786) 999-5353 - **Email:** appointment@properoofing.com - **Address:** 1011 Ives Dairy Rd #210, Miami, FL 33179 ### 3. A&E ",Miami,,Florida,33137,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,kensamroof1@gmail.com,(786) 539-0563,"** 5625 NE 2nd Ave, Miami, FL 33137 ### 2. Proper Roofing Inc. - **Phone:** (786) 999-5353 - **Email:** appointment@properoofing.com - **Address:** 1011 Ives Dairy Rd #210, Miami, FL 33179 ### 3. A&E ",Miami,,Florida,33137,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,info@handyandyhawaii.us,(808) 285-3443,"** 80 Sand Island Access Rd. Unit #227, Honolulu, HI 96819 - **Mailing Address:** 150 Hamakua Dr #736, Kailua, HI 96734 - **City:** Honolulu - **State:** Hawaii - **ZIP Code:** 96819 --- ## 2. Handyma",Honolulu,,Hawaii,96819,Handyman,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,kevenservices@yahoo.com,(808) 285-3443,"** 80 Sand Island Access Rd. Unit #227, Honolulu, HI 96819 - **Mailing Address:** 150 Hamakua Dr #736, Kailua, HI 96734 - **City:** Honolulu - **State:** Hawaii - **ZIP Code:** 96819 --- ## 2. Handyma",Honolulu,,Hawaii,96819,Handyman,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
Phone:,abchandymanhawaii@gmail.com,(808) 285-3443,"** 80 Sand Island Access Rd. Unit #227, Honolulu, HI 96819 - **Mailing Address:** 150 Hamakua Dr #736, Kailua, HI 96734 - **City:** Honolulu - **State:** Hawaii - **ZIP Code:** 96819 --- ## 2. Handyma",Honolulu,,Hawaii,96819,Handyman,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"I'll search for HVAC contractors in Chicago, Illinois to gath",info@universalhvacgroup.com,(312) 313-8411,"| City | State | ZIP | Email | |---|---|---|---|---|---|---| | Chicago HVAC Repair Doctor, Inc. | (312) 313-8411 | 2227 W Fullerton Ave | Chicago | IL | 60647 | - | | Air-Rite Heating & Cooling | (630",Yelp,,Illinois,60647,HVAC Contractor,2026-05-20,YES,YES,YES,YES,2026-05-20,email_test=sent
"I'll search for HVAC contractors in Chicago, Illinois to gath",office@thermopolinc.com,(312) 313-8411,"| City | State | ZIP | Email | |---|---|---|---|---|---|---| | Chicago HVAC Repair Doctor, Inc. | (312) 313-8411 | 2227 W Fullerton Ave | Chicago | IL | 60647 | - | | Air-Rite Heating & Cooling | (630",Yelp,,Illinois,60647,HVAC Contractor,2026-05-20,YES,YES,YES,YES,2026-05-20,email_test=sent
1. Turner Appliance Repair,turner.appliance@yahoo.com,(317) 788-9180,"4004 S. Meridian St., Indianapolis, IN 46217 - Phone: (317) 788-9180 - Email: turner.appliance@yahoo.com **2. Indy Appliance Repair** - Address: Serving Indianapolis, IN area - Phone: (317) 844-2474, ",Indianapolis,,Indiana,46217,Appliance Technician,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Turner Appliance Repair,indyappliancerepairnow@gmail.com,(317) 788-9180,"4004 S. Meridian St., Indianapolis, IN 46217 - Phone: (317) 788-9180 - Email: turner.appliance@yahoo.com **2. Indy Appliance Repair** - Address: Serving Indianapolis, IN area - Phone: (317) 844-2474, ",Indianapolis,,Indiana,46217,Appliance Technician,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Turner Appliance Repair,info@ap1appliancerepair.com,(317) 788-9180,"4004 S. Meridian St., Indianapolis, IN 46217 - Phone: (317) 788-9180 - Email: turner.appliance@yahoo.com **2. Indy Appliance Repair** - Address: Serving Indianapolis, IN area - Phone: (317) 844-2474, ",Indianapolis,,Indiana,46217,Appliance Technician,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Turner Appliance Repair,support@applianceguyindy.com,(317) 788-9180,"4004 S. Meridian St., Indianapolis, IN 46217 - Phone: (317) 788-9180 - Email: turner.appliance@yahoo.com **2. Indy Appliance Repair** - Address: Serving Indianapolis, IN area - Phone: (317) 844-2474, ",Indianapolis,,Indiana,46217,Appliance Technician,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Turner Appliance Repair,info@zenithpuresolutions.com,(317) 788-9180,"4004 S. Meridian St., Indianapolis, IN 46217 - Phone: (317) 788-9180 - Email: turner.appliance@yahoo.com **2. Indy Appliance Repair** - Address: Serving Indianapolis, IN area - Phone: (317) 844-2474, ",Indianapolis,,Indiana,46217,Appliance Technician,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Roto-Rooter (Des Moines),kami@cookplumbing.com,(515) 278-5668,"4005 SE Grimes Blvd, Des Moines, IA 50111 - Website: rotorooter.com/desmoines - Hours: Open 24/7 **2. Richardson Plumbing Company** - Phone: (515) 306-1205 - Address: 3307 SE 18th Ct, Des Moines, IA 5",Des Moines,,Iowa,50111,Plumber,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Roto-Rooter (Des Moines),scott@cookplumbing.com,(515) 278-5668,"4005 SE Grimes Blvd, Des Moines, IA 50111 - Website: rotorooter.com/desmoines - Hours: Open 24/7 **2. Richardson Plumbing Company** - Phone: (515) 306-1205 - Address: 3307 SE 18th Ct, Des Moines, IA 5",Des Moines,,Iowa,50111,Plumber,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Roto-Rooter (Des Moines),office@holtinc.com,(515) 278-5668,"4005 SE Grimes Blvd, Des Moines, IA 50111 - Website: rotorooter.com/desmoines - Hours: Open 24/7 **2. Richardson Plumbing Company** - Phone: (515) 306-1205 - Address: 3307 SE 18th Ct, Des Moines, IA 5",Des Moines,,Iowa,50111,Plumber,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Roto-Rooter (Des Moines),unclogger50313@yahoo.com,(515) 278-5668,"4005 SE Grimes Blvd, Des Moines, IA 50111 - Website: rotorooter.com/desmoines - Hours: Open 24/7 **2. Richardson Plumbing Company** - Phone: (515) 306-1205 - Address: 3307 SE 18th Ct, Des Moines, IA 5",Des Moines,,Iowa,50111,Plumber,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Roto-Rooter (Des Moines),service@royalplumbingia.com,(515) 278-5668,"4005 SE Grimes Blvd, Des Moines, IA 50111 - Website: rotorooter.com/desmoines - Hours: Open 24/7 **2. Richardson Plumbing Company** - Phone: (515) 306-1205 - Address: 3307 SE 18th Ct, Des Moines, IA 5",Des Moines,,Iowa,50111,Plumber,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Roto-Rooter (Des Moines),dispatch@tcgiowa.com,(515) 278-5668,"4005 SE Grimes Blvd, Des Moines, IA 50111 - Website: rotorooter.com/desmoines - Hours: Open 24/7 **2. Richardson Plumbing Company** - Phone: (515) 306-1205 - Address: 3307 SE 18th Ct, Des Moines, IA 5",Des Moines,,Iowa,50111,Plumber,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Clean Air Lawn Care Louisville,kat@cleanairlawncare.com,(502) 434-3045,"Louisville, KY (service area) **2. Farison Lawn Care** - Phone: (502) 245-9422 - Address: 11500 Electron Dr, Louisville, KY 40299 **3. Nalley's Lawn Service & Landscaping LLC** - Phone: (502) 327-9968",Louisville,,Kentucky,11500,Lawn Care Services,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Clean Air Lawn Care Louisville,info@nalleyslawnservicellc.com,(502) 434-3045,"Louisville, KY (service area) **2. Farison Lawn Care** - Phone: (502) 245-9422 - Address: 11500 Electron Dr, Louisville, KY 40299 **3. Nalley's Lawn Service & Landscaping LLC** - Phone: (502) 327-9968",Louisville,,Kentucky,11500,Lawn Care Services,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
1. Clean Air Lawn Care Louisville,nickreid@promowlawncarellc.com,(502) 434-3045,"Louisville, KY (service area) **2. Farison Lawn Care** - Phone: (502) 245-9422 - Address: 11500 Electron Dr, Louisville, KY 40299 **3. Nalley's Lawn Service & Landscaping LLC** - Phone: (502) 327-9968",Louisville,,Kentucky,11500,Lawn Care Services,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Maine Roofing, Inc.",bill@maineroofinginc.com,(207) 767-4243,"** 24 Bishop Avenue, South Portland, ME 04106 --- **2. Tecta America New England LLC** - **Phone:** (207) 878-1732 - **Fax:** 207-878-1733 - **Email:** jdonovan@tectaamerica.com - **Address:** 1093 Ri",South Portland,,Maine,04106,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Maine Roofing, Inc.",lad@maineroofinginc.com,(207) 767-4243,"** 24 Bishop Avenue, South Portland, ME 04106 --- **2. Tecta America New England LLC** - **Phone:** (207) 878-1732 - **Fax:** 207-878-1733 - **Email:** jdonovan@tectaamerica.com - **Address:** 1093 Ri",South Portland,,Maine,04106,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Maine Roofing, Inc.",wdarling@maineroofinginc.com,(207) 767-4243,"** 24 Bishop Avenue, South Portland, ME 04106 --- **2. Tecta America New England LLC** - **Phone:** (207) 878-1732 - **Fax:** 207-878-1733 - **Email:** jdonovan@tectaamerica.com - **Address:** 1093 Ri",South Portland,,Maine,04106,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Maine Roofing, Inc.",jdonovan@tectaamerica.com,(207) 767-4243,"** 24 Bishop Avenue, South Portland, ME 04106 --- **2. Tecta America New England LLC** - **Phone:** (207) 878-1732 - **Fax:** 207-878-1733 - **Email:** jdonovan@tectaamerica.com - **Address:** 1093 Ri",South Portland,,Maine,04106,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Maine Roofing, Inc.",office@horchroofing.com,(207) 767-4243,"** 24 Bishop Avenue, South Portland, ME 04106 --- **2. Tecta America New England LLC** - **Phone:** (207) 878-1732 - **Fax:** 207-878-1733 - **Email:** jdonovan@tectaamerica.com - **Address:** 1093 Ri",South Portland,,Maine,04106,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Maine Roofing, Inc.",office@daviddeschaine.com,(207) 767-4243,"** 24 Bishop Avenue, South Portland, ME 04106 --- **2. Tecta America New England LLC** - **Phone:** (207) 878-1732 - **Fax:** 207-878-1733 - **Email:** jdonovan@tectaamerica.com - **Address:** 1093 Ri",South Portland,,Maine,04106,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Maine Roofing, Inc.",kasey@marstersroofing.com,(207) 767-4243,"** 24 Bishop Avenue, South Portland, ME 04106 --- **2. Tecta America New England LLC** - **Phone:** (207) 878-1732 - **Fax:** 207-878-1733 - **Email:** jdonovan@tectaamerica.com - **Address:** 1093 Ri",South Portland,,Maine,04106,Roofer,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",baltimorehomespecs@msn.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",rajesh5555dave@gmail.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",rcurtin@domushomeinspection.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",tom@ahisservices.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",firstpointhi@gmail.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",emked@aol.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",robert.miller2052@gmail.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",chagallagher@yahoo.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",brian@safehomes.co,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",abodehome1@comcast.net,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",paul@adamshis.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,"email_test=fail: {'paul@adamshis.com': (550, b'The mail s"
"1. Baltimore Home Specs, LLC",inspector@bluecrabinspections.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",moreno7777@yahoo.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",9starpropertiesllc@gmail.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",inspector@almosthomeinspections.biz,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",aaron@aaronshomeinspections.net,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",4starres@comcast.net,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",justin@certifiedproperty.us,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",shoreuphomeinspections@comcast.net,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",prospecinspectionsmd@gmail.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
"1. Baltimore Home Specs, LLC",info@alpinspections.com,443-250-2095,"9802 Mageldt Rd, Parkville, MD 21234 **2. Dave Home Inspection** - Email: rajesh5555dave@gmail.com - Phone: 410-499-7928 - Address: 6059 Harford Road, Baltimore, MD 21214 **3. Domus Home Inspection Sv",Baltimore Home Specs,,Maryland,21234,Inspection Crew,2026-05-20,YES,YES,NO,YES,2026-05-20,email_test=sent
